1560710188,autobahnkreuz-4,700Ki
1560710188,autobahnkreuz-1,672Ki
1560710188,autobahnkreuz-3,684Ki
1560710188,autobahnkreuz-0,680Ki
1560710188,autobahnkreuz-2,660Ki
1560710189,autobahnkreuz-1,672Ki
1560710189,autobahnkreuz-2,660Ki
1560710189,autobahnkreuz-4,700Ki
1560710189,autobahnkreuz-3,684Ki
1560710189,autobahnkreuz-0,680Ki
1560710190,autobahnkreuz-4,700Ki
1560710190,autobahnkreuz-0,680Ki
1560710190,autobahnkreuz-1,672Ki
1560710190,autobahnkreuz-3,684Ki
1560710190,autobahnkreuz-2,660Ki
1560710191,autobahnkreuz-1,672Ki
1560710191,autobahnkreuz-4,700Ki
1560710191,autobahnkreuz-2,660Ki
1560710191,autobahnkreuz-3,684Ki
1560710191,autobahnkreuz-0,680Ki
1560710192,autobahnkreuz-0,680Ki
1560710192,autobahnkreuz-2,660Ki
1560710192,autobahnkreuz-1,672Ki
1560710192,autobahnkreuz-4,700Ki
1560710192,autobahnkreuz-3,684Ki
1560710193,autobahnkreuz-0,680Ki
1560710193,autobahnkreuz-4,700Ki
1560710193,autobahnkreuz-2,660Ki
1560710193,autobahnkreuz-1,672Ki
1560710193,autobahnkreuz-3,684Ki
1560710194,autobahnkreuz-4,700Ki
1560710194,autobahnkreuz-2,660Ki
1560710194,autobahnkreuz-1,672Ki
1560710194,autobahnkreuz-3,684Ki
1560710194,autobahnkreuz-0,680Ki
1560710196,autobahnkreuz-0,680Ki
1560710196,autobahnkreuz-3,684Ki
1560710196,autobahnkreuz-2,660Ki
1560710196,autobahnkreuz-4,700Ki
1560710196,autobahnkreuz-1,672Ki
1560710197,autobahnkreuz-0,680Ki
1560710197,autobahnkreuz-1,672Ki
1560710197,autobahnkreuz-4,700Ki
1560710197,autobahnkreuz-2,660Ki
1560710197,autobahnkreuz-3,684Ki
1560710198,autobahnkreuz-2,660Ki
1560710198,autobahnkreuz-1,672Ki
1560710198,autobahnkreuz-4,700Ki
1560710198,autobahnkreuz-0,680Ki
1560710198,autobahnkreuz-3,684Ki
1560710199,autobahnkreuz-4,700Ki
1560710199,autobahnkreuz-2,660Ki
1560710199,autobahnkreuz-3,684Ki
1560710199,autobahnkreuz-1,672Ki
1560710199,autobahnkreuz-0,680Ki
1560710200,autobahnkreuz-2,660Ki
1560710200,autobahnkreuz-1,672Ki
1560710200,autobahnkreuz-4,700Ki
1560710200,autobahnkreuz-0,680Ki
1560710200,autobahnkreuz-3,684Ki
1560710201,autobahnkreuz-3,684Ki
1560710201,autobahnkreuz-2,660Ki
1560710201,autobahnkreuz-4,700Ki
1560710201,autobahnkreuz-0,680Ki
1560710201,autobahnkreuz-1,672Ki
1560710202,autobahnkreuz-2,660Ki
1560710202,autobahnkreuz-1,672Ki
1560710202,autobahnkreuz-3,684Ki
1560710202,autobahnkreuz-4,700Ki
1560710202,autobahnkreuz-0,680Ki
1560710203,autobahnkreuz-1,672Ki
1560710203,autobahnkreuz-0,680Ki
1560710203,autobahnkreuz-2,660Ki
1560710203,autobahnkreuz-3,684Ki
1560710203,autobahnkreuz-4,700Ki
1560710204,autobahnkreuz-0,680Ki
1560710204,autobahnkreuz-1,672Ki
1560710204,autobahnkreuz-4,700Ki
1560710204,autobahnkreuz-3,684Ki
1560710204,autobahnkreuz-2,660Ki
1560710205,autobahnkreuz-4,700Ki
1560710205,autobahnkreuz-1,672Ki
1560710205,autobahnkreuz-3,684Ki
1560710205,autobahnkreuz-0,680Ki
1560710205,autobahnkreuz-2,660Ki
1560710206,autobahnkreuz-2,660Ki
1560710206,autobahnkreuz-1,672Ki
1560710206,autobahnkreuz-3,684Ki
1560710206,autobahnkreuz-4,700Ki
1560710206,autobahnkreuz-0,680Ki
1560710207,autobahnkreuz-0,680Ki
1560710207,autobahnkreuz-1,672Ki
1560710207,autobahnkreuz-3,684Ki
1560710207,autobahnkreuz-4,700Ki
1560710207,autobahnkreuz-2,660Ki
1560710208,autobahnkreuz-3,684Ki
1560710208,autobahnkreuz-2,660Ki
1560710208,autobahnkreuz-1,672Ki
1560710208,autobahnkreuz-0,680Ki
1560710208,autobahnkreuz-4,700Ki
1560710209,autobahnkreuz-2,660Ki
1560710209,autobahnkreuz-3,684Ki
1560710209,autobahnkreuz-4,700Ki
1560710209,autobahnkreuz-0,680Ki
1560710209,autobahnkreuz-1,672Ki
1560710210,autobahnkreuz-3,684Ki
1560710210,autobahnkreuz-4,700Ki
1560710210,autobahnkreuz-2,660Ki
1560710210,autobahnkreuz-1,672Ki
1560710210,autobahnkreuz-0,680Ki
1560710211,autobahnkreuz-2,660Ki
1560710211,autobahnkreuz-0,680Ki
1560710211,autobahnkreuz-1,672Ki
1560710211,autobahnkreuz-3,684Ki
1560710211,autobahnkreuz-4,700Ki
1560710212,autobahnkreuz-1,672Ki
1560710212,autobahnkreuz-3,684Ki
1560710212,autobahnkreuz-4,700Ki
1560710212,autobahnkreuz-0,680Ki
1560710212,autobahnkreuz-2,660Ki
1560710213,autobahnkreuz-3,684Ki
1560710213,autobahnkreuz-0,680Ki
1560710213,autobahnkreuz-2,660Ki
1560710213,autobahnkreuz-1,672Ki
1560710213,autobahnkreuz-4,700Ki
1560710214,autobahnkreuz-1,672Ki
1560710214,autobahnkreuz-4,700Ki
1560710214,autobahnkreuz-2,660Ki
1560710214,autobahnkreuz-3,684Ki
1560710214,autobahnkreuz-0,680Ki
1560710215,autobahnkreuz-3,684Ki
1560710215,autobahnkreuz-2,660Ki
1560710215,autobahnkreuz-4,700Ki
1560710215,autobahnkreuz-1,672Ki
1560710215,autobahnkreuz-0,680Ki
1560710216,autobahnkreuz-2,660Ki
1560710216,autobahnkreuz-0,680Ki
1560710216,autobahnkreuz-4,700Ki
1560710216,autobahnkreuz-3,684Ki
1560710216,autobahnkreuz-1,672Ki
1560710217,autobahnkreuz-4,700Ki
1560710217,autobahnkreuz-0,680Ki
1560710217,autobahnkreuz-2,660Ki
