1560710939,emitter-3,4932Ki
1560710939,emitter-2,5188Ki
1560710939,emitter-4,4920Ki
1560710939,emitter-1,4900Ki
1560710939,emitter-0,5300Ki
1560710940,emitter-0,5300Ki
1560710940,emitter-3,4932Ki
1560710940,emitter-4,4920Ki
1560710940,emitter-1,4900Ki
1560710940,emitter-2,5188Ki
1560710941,emitter-2,5188Ki
1560710941,emitter-3,4932Ki
1560710941,emitter-4,4920Ki
1560710941,emitter-1,4900Ki
1560710941,emitter-0,5300Ki
1560710942,emitter-3,4932Ki
1560710942,emitter-0,5300Ki
1560710942,emitter-1,4900Ki
1560710942,emitter-4,4920Ki
1560710942,emitter-2,5188Ki
1560710943,emitter-1,4900Ki
1560710943,emitter-0,5300Ki
1560710943,emitter-4,4920Ki
1560710943,emitter-3,4932Ki
1560710943,emitter-2,5188Ki
1560710944,emitter-2,5188Ki
1560710944,emitter-3,4932Ki
1560710944,emitter-0,5300Ki
1560710944,emitter-4,4920Ki
1560710944,emitter-1,4900Ki
1560710946,emitter-3,4932Ki
1560710946,emitter-4,4920Ki
1560710946,emitter-2,5188Ki
1560710946,emitter-0,5300Ki
1560710946,emitter-1,4900Ki
1560710947,emitter-4,4920Ki
1560710947,emitter-3,4932Ki
1560710947,emitter-0,5300Ki
1560710947,emitter-2,5188Ki
1560710947,emitter-1,4900Ki
1560710948,emitter-4,4920Ki
1560710948,emitter-0,5300Ki
1560710948,emitter-2,5188Ki
1560710948,emitter-3,4932Ki
1560710948,emitter-1,4900Ki
1560710949,emitter-4,4920Ki
1560710949,emitter-2,5188Ki
1560710949,emitter-0,5300Ki
1560710949,emitter-3,4932Ki
1560710949,emitter-1,4900Ki
1560710950,emitter-4,4920Ki
1560710950,emitter-2,5188Ki
1560710950,emitter-1,4900Ki
1560710950,emitter-3,4932Ki
1560710950,emitter-0,5300Ki
1560710951,emitter-4,4920Ki
1560710951,emitter-2,5188Ki
1560710951,emitter-0,5300Ki
1560710951,emitter-3,4932Ki
1560710951,emitter-1,4900Ki
1560710952,emitter-4,4920Ki
1560710952,emitter-2,5188Ki
1560710952,emitter-3,4932Ki
1560710952,emitter-0,5300Ki
1560710952,emitter-1,4900Ki
1560710953,emitter-4,4920Ki
1560710953,emitter-1,4900Ki
1560710953,emitter-3,4932Ki
1560710953,emitter-0,5300Ki
1560710953,emitter-2,5188Ki
1560710954,emitter-1,4900Ki
1560710954,emitter-0,5300Ki
1560710954,emitter-2,5188Ki
1560710954,emitter-4,4920Ki
1560710954,emitter-3,4932Ki
1560710955,emitter-4,4920Ki
1560710955,emitter-2,5188Ki
1560710955,emitter-3,4932Ki
1560710955,emitter-0,5300Ki
1560710955,emitter-1,4900Ki
1560710956,emitter-3,4932Ki
1560710956,emitter-2,5188Ki
1560710956,emitter-1,4900Ki
1560710956,emitter-0,5300Ki
1560710956,emitter-4,4920Ki
1560710957,emitter-0,5300Ki
1560710957,emitter-4,4920Ki
1560710957,emitter-1,4900Ki
1560710957,emitter-2,5188Ki
1560710957,emitter-3,4932Ki
1560710958,emitter-1,4900Ki
1560710958,emitter-2,5188Ki
1560710958,emitter-4,4920Ki
1560710958,emitter-0,5300Ki
1560710958,emitter-3,4932Ki
1560710959,emitter-2,5188Ki
1560710959,emitter-3,4932Ki
1560710959,emitter-1,4900Ki
1560710959,emitter-4,4920Ki
1560710959,emitter-0,5300Ki
1560710960,emitter-0,5300Ki
1560710960,emitter-1,4900Ki
1560710960,emitter-3,4932Ki
1560710960,emitter-2,5188Ki
1560710960,emitter-4,4920Ki
1560710961,emitter-4,4920Ki
1560710961,emitter-0,5300Ki
1560710961,emitter-3,4932Ki
1560710961,emitter-1,4900Ki
1560710961,emitter-2,5188Ki
1560710962,emitter-0,5300Ki
1560710962,emitter-2,5188Ki
1560710962,emitter-3,4932Ki
1560710962,emitter-4,4920Ki
1560710962,emitter-1,4900Ki
1560710963,emitter-1,4900Ki
1560710963,emitter-3,4932Ki
1560710963,emitter-4,4920Ki
1560710963,emitter-0,5300Ki
1560710963,emitter-2,5188Ki
1560710964,emitter-0,5300Ki
1560710964,emitter-4,4920Ki
1560710964,emitter-1,4900Ki
1560710964,emitter-2,5188Ki
1560710964,emitter-3,4932Ki
1560710965,emitter-2,5188Ki
1560710965,emitter-1,4900Ki
1560710965,emitter-0,5300Ki
1560710965,emitter-3,4932Ki
1560710965,emitter-4,4920Ki
1560710966,emitter-0,5300Ki
1560710966,emitter-2,5188Ki
1560710966,emitter-3,4932Ki
1560710966,emitter-1,4900Ki
1560710966,emitter-4,4920Ki
1560710967,emitter-2,5188Ki
1560710967,emitter-3,4932Ki
1560710967,emitter-0,5300Ki
1560710967,emitter-1,4900Ki
1560710967,emitter-4,4920Ki
1560710968,emitter-1,4900Ki
1560710968,emitter-0,5300Ki
1560710968,emitter-4,4920Ki
1560710968,emitter-3,4932Ki
1560710968,emitter-2,5188Ki
1560710969,emitter-4,4920Ki
1560710969,emitter-1,4900Ki
1560710969,emitter-3,4932Ki
1560710969,emitter-2,5188Ki
1560710969,emitter-0,5300Ki
1560710970,emitter-0,5300Ki
1560710970,emitter-1,4900Ki
1560710970,emitter-2,5188Ki
1560710970,emitter-3,4932Ki
1560710970,emitter-4,4920Ki
1560710972,emitter-4,4920Ki
1560710972,emitter-3,4932Ki
1560710972,emitter-1,4900Ki
1560710972,emitter-0,5300Ki
1560710972,emitter-2,5188Ki
1560710973,emitter-3,4932Ki
1560710973,emitter-2,5188Ki
1560710973,emitter-4,4920Ki
1560710973,emitter-0,5300Ki
1560710973,emitter-1,4900Ki
1560710974,emitter-3,4932Ki
1560710974,emitter-2,5188Ki
1560710974,emitter-4,4920Ki
1560710974,emitter-0,5300Ki
1560710974,emitter-1,4900Ki
1560710975,emitter-1,4900Ki
1560710975,emitter-0,5300Ki
1560710975,emitter-4,4920Ki
1560710975,emitter-2,5188Ki
1560710975,emitter-3,4932Ki
1560710976,emitter-2,5188Ki
1560710976,emitter-3,4932Ki
1560710976,emitter-1,4900Ki
1560710976,emitter-4,4920Ki
1560710976,emitter-0,5300Ki
1560710977,emitter-2,5188Ki
1560710977,emitter-0,5300Ki
1560710977,emitter-1,4900Ki
1560710977,emitter-3,4932Ki
1560710977,emitter-4,4920Ki
1560710978,emitter-3,4932Ki
1560710978,emitter-1,4900Ki
1560710978,emitter-2,5188Ki
1560710978,emitter-4,4920Ki
1560710978,emitter-0,5300Ki
1560710979,emitter-4,4920Ki
1560710979,emitter-2,5188Ki
1560710979,emitter-3,4932Ki
1560710979,emitter-0,5300Ki
1560710979,emitter-1,4900Ki
1560710980,emitter-1,4900Ki
1560710980,emitter-2,5188Ki
1560710980,emitter-4,4920Ki
1560710980,emitter-0,5300Ki
